START CTAPT
NEW_GAME CHA4ALA
PASSWORD KOD
OPTIONS HACTP.
CREDIT KPEDIT
CONTINUE __EWE
LEVEL YPOB.
ENERGY EHEPGN
GAME_OVER LUZER
LICENSED_BY CTO-TO TAM
COPYRIGHT CUEPTO U 
PLAYERS NGPOKA
PLAYER NGPOK
SELECT CELEKT
BUTTON KHOUKA
STAGE ETAZ
PRESS_START ZMN_ANY_KEY
PRESS UPECC
PRESENTS O.O''
MISSION MNCCNR
_AND_ __N
PRINCESS UPNHUECA
CANCEL HEHADO
KINGDOM KOP-BO
_GAME _NGPA
GAME_ NGPA
CONFIRM __DA

ABOUT __Î
ACROSS 4EPE3
AFTER UOCLE
AGAIN CHOBA
AGAINST UPOTIV
ALMOST UO4TN
ALONG BDOL
ALWAYS BCEGDA
ANOTHER DPYGON
ANSWER OTBET
ANYTHING 4EHIT
AROUND KPYGOM
AWAY NDN
BECAUSE _T.K._
BEFORE UEPED
BEGIN HA4AT
BEHIND C3ADN
BELIEVE BEPNT
BETTER LY4WE
BLACK 4EPH.
BODY_ TELO
BOTH_ O6A
BREAK LOMKA
BROKEN CLOMAH
BRING PRIV.
BUILD 3DAH. 
_BUT_ _HO
CALL_ _3OB
_CALL __3OB
_CAN_ _MOG
CLOSE ZAKR
COURSE __DA
DARK DPANB

_END_ KHU
ENOUGH XBATNT
EVERY _BCE
_EYE_ GL3

FACE_ LNUO
_FACE _LNUO
FIRST UEPB.
FLOOR ETAZ
FOLLOW _NDN
_FOR_ _DLR
FRIEND DRYG
FRONT _ZAD
FROM_ _N3
_FROM __N3

GLASS O4KN
GREAT O.O''
HAPPEN _???
HARD_ TRZKO
_HARD TRZKO
HAVE_ NMEL
_HAVE _NMEL
HIMSELF _CE6R
HOUSE DOM
_HOW_ _KAK

INSIDE TAM
KILL_ Y6NL
_KILL _Y6NL
KNOW_ 3HAU
_KNOW _3HAU

LIGHT CBET
_LIKE _KAK
LIKE_ _KAK
LITTLE MALNN
MAYBE M.6.
MINUTE MNHYTA
MOMENT MOMEHN


NEVER HEBEP
NIGHT HO4b
NOTHING HN4EGO
_NOW_ _WAC

_SHE_ _OHA

REACH DOCT
REALLY DA?
REMEMBER UOMHN
RIGHT UPABO

SHOOT 6YX!
SHOULD _HADO
SMALL MALON
SMILE _:)
SOMETHING 4TO-TO
SOUND 3BYK
SPEAK CKA3
STAND CTON
STARE CM.
STILL TNXNN
STREET YLNUA
SUDDENLY BDPYG
SURE_ _DA
_SURE __DA


TABLE CTOL
_TAKE _6EPN
TAKE_ 6EPN
THAN_ 4EM
_THAN _4EM
THANK CUC:)
_THAT _TOT
THAT TOT
_THE_ _
THEIR NX
THEN_ TGDA
_THEN _TGDA
THERE TAM
THESE ETN
THEY_ OHN
_THEY _OHN
THING WTYKA
THINK DYMAU
_THIS _ETO
THIS _ETO
THOSE TE
THOUGH BCE ZE
THREE TPN
THROUGH 4EPE3
TIME_ BPMR
_TIME _BPMR
TOWARD TYDA


UNDER UOD
UNTIL UOKA
_USE_ NCU


VERY_ O4EH
_VERY _O4EH
VOICE GOLOC


WAIT_ ZDN
_WAIT _ZDN
_WAS_ 6NL
WATCH CM.
WATER BODA
WHERE KUDA
WHICH KOT.
WHILE UOKA
WHITE 6ELNN
_WHO_ _KTO
_WHY_ _???
WINDOW OKNO
WITH_ C
_WITH _C
WITHOUT 6E3
WOMAN DEBA
SWORD ME4
WORLD MNP
WOULD KAK


_YOU_ TN
YOUR_ TBON
_YOUR _TBON
