fileName;textureName;format;width;height;mipmapCount;rasterPosition;rasterSize;paletteFormat;palettePosition;paletteSize
Audiotest;wood;indexed4;128;64;1;2a0;1000;rgba;12f0;40
Audiotest;water;indexed4;128;64;1;1464;1000;rgba;24b4;40
Audiotest;tile;indexed4;128;64;1;2628;1000;rgba;3678;40
Audiotest;tarmac;indexed4;128;64;1;37ec;1000;rgba;483c;40
Audiotest;stone;indexed4;128;64;1;49b0;1000;rgba;5a00;40
Audiotest;squelchy;indexed4;128;64;1;5b78;1000;rgba;6bc8;40
Audiotest;metal_rust_2;indexed4;128;64;1;6d44;1000;rgba;7d94;40
Audiotest;metal;indexed4;128;64;1;7f08;1000;rgba;8f58;40
Audiotest;gravel;indexed4;128;64;1;90cc;1000;rgba;a11c;40
Audiotest;dirtfloor;indexed4;128;64;1;a294;1000;rgba;b2e4;40
Audiotest;carpet;indexed4;128;64;1;b458;1000;rgba;c4a8;40
Audiotest;SA_brick_02;indexed4;128;128;1;c620;2000;rgba;e670;40
Audiotest;metal_rust_1;indexed4;128;64;1;e7ec;1000;rgba;f83c;40
Audiotest;mesh;indexed4;128;64;1;f9b0;1000;rgba;10a00;40
Audiotest;lonely_moon;indexed4;128;64;1;10b78;1000;rgba;11bc8;40
Audiotest;laminate;indexed4;128;64;1;11d40;1000;rgba;12d90;40
Audiotest;grass;indexed4;128;64;1;12f04;1000;rgba;13f54;40
Audiotest;dirtroad;indexed4;128;64;1;140cc;1000;rgba;1511c;40
CEnemyBehaviour.2Back;FX_Caliban_dust;indexed4;64;64;1;254;800;rgba;aa4;40
CEnemyBehaviour.2Back;2Back_Blood;indexed8;128;128;1;c1c;4000;rgba;4c6c;400
CEnemyBehaviour.2Back;fx_Vomit;indexed8;128;128;1;5184;4000;rgba;91d4;400
CEnemyBehaviour.2Back;twoback_03;indexed8;128;128;1;96ec;4000;rgba;d73c;400
CEnemyBehaviour.2Back;twoback_02;indexed8;256;256;1;dc54;10000;rgba;1dca4;400
CEnemyBehaviour.2Back;Env;indexed4;64;64;1;1e1b4;800;rgba;1ea04;40
CEnemyBehaviour.2Back;twoback_01;indexed8;256;256;1;1eb7c;10000;rgba;2ebcc;400
CEnemyBehaviour.2BackNoTNF;FX_Caliban_dust;indexed4;64;64;1;258;800;rgba;aa8;40
CEnemyBehaviour.2BackNoTNF;2Back_Blood;indexed8;128;128;1;c20;4000;rgba;4c70;400
CEnemyBehaviour.2BackNoTNF;fx_Vomit;indexed8;128;128;1;5188;4000;rgba;91d8;400
CEnemyBehaviour.2BackNoTNF;twoback_03;indexed8;128;128;1;96f0;4000;rgba;d740;400
CEnemyBehaviour.2BackNoTNF;twoback_02;indexed8;256;256;1;dc58;10000;rgba;1dca8;400
CEnemyBehaviour.2BackNoTNF;Env;indexed4;64;64;1;1e1b8;800;rgba;1ea08;40
CEnemyBehaviour.2BackNoTNF;twoback_01;indexed8;256;256;1;1eb80;10000;rgba;2ebd0;400
CEnemyBehaviour.Ariel;Ariel_head_cm;indexed8;128;128;1;254;4000;rgba;42a4;400
CEnemyBehaviour.Ariel;Env;indexed4;64;64;1;47b4;800;rgba;5004;40
CEnemyBehaviour.Ariel;Ariel_body_cm;indexed8;256;256;1;5180;10000;rgba;151d0;400
CEnemyBehaviour.Butcher;FX_meat;indexed8;64;64;1;24c;1000;rgba;129c;400
CEnemyBehaviour.Butcher;FX_Vomit_02;indexed8;64;64;1;17b4;1000;rgba;2804;400
CEnemyBehaviour.Butcher;FX_Vomit_01;indexed8;64;64;1;2d1c;1000;rgba;3d6c;400
CEnemyBehaviour.Butcher;T_Butcher_02;indexed8;256;256;1;4288;10000;rgba;142d8;400
CEnemyBehaviour.Butcher;T_Butcher_04;indexed8;256;256;1;147f4;10000;rgba;24844;400
CEnemyBehaviour.Butcher;T_Butcher_01;indexed8;256;256;1;24d60;10000;rgba;34db0;400
CEnemyBehaviour.Butcher;Env;indexed4;64;64;1;352c0;800;rgba;35b10;40
CEnemyBehaviour.Butcher;T_Butcher_03;indexed8;128;128;1;35c8c;4000;rgba;39cdc;400
CEnemyBehaviour.Caliban;FX_Meat_Bones;indexed8;64;64;1;24c;1000;rgba;129c;400
CEnemyBehaviour.Caliban;FX_Light_Smoke;indexed4;64;64;1;17b8;800;rgba;2008;40
CEnemyBehaviour.Caliban;FX_fog2;indexed8;64;64;1;217c;1000;rgba;31cc;400
CEnemyBehaviour.Caliban;FX_smoke_Dahlia_b;indexed8;32;64;1;36ec;800;rgba;3f3c;400
CEnemyBehaviour.Caliban;FX_cig_smoke;indexed8;64;64;1;4458;1000;rgba;54a8;400
CEnemyBehaviour.Caliban;FX_smoke_Dahlia_a2;indexed8;32;32;1;59c8;400;rgba;5e18;400
CEnemyBehaviour.Caliban;FX_Caliban_dust;indexed4;64;64;1;6334;800;rgba;6b84;40
CEnemyBehaviour.Caliban;PS2_caliban_05;indexed8;64;64;1;6d00;1000;rgba;7d50;400
CEnemyBehaviour.Caliban;PS2_caliban_04;indexed8;128;128;1;826c;4000;rgba;c2bc;400
CEnemyBehaviour.Caliban;PS2_caliban_03;indexed8;256;256;1;c7d8;10000;rgba;1c828;400
