fileName;textureName;format;width;height;mipmapCount;rasterPosition;rasterSize;paletteFormat;palettePosition;paletteSize
00000F7C;UI_XJAPJAP;indexed4;32;32;1;1d8;200;rgba;198;40
00000F7C;UI_UnreadMessage;indexed8;32;16;1;8a8;200;rgba;4a8;400
00000F7C;UI_MobileMapObjectiveIcon;indexed4;32;32;1;bb8;200;rgba;b78;40
00000F7C;ui_mask;indexed4;4;8;1;ec8;80;rgba;e88;40
00000F7C;UI_MobileMapObjectiveMarker;indexed8;8;16;1;1418;100;rgba;1018;400
00000F7C;UI_HourglassIcon;indexed4;16;16;1;1628;100;rgba;15e8;40
00000F7C;UI_NewMessageIcon;indexed4;8;32;1;1838;200;rgba;17f8;40
00000F7C;UI_blank;indexed4;8;8;1;1b48;80;rgba;1b08;40
00000F7C;UI_TorchIcon;indexed4;16;32;1;1cd8;200;rgba;1c98;40
00000F7C;UI_ArrowWhite;indexed4;16;32;1;1fe8;200;rgba;1fa8;40
00000F7C;UI_AccountsIcon;indexed4;32;32;1;22f8;200;rgba;22b8;40
00000F7C;UI_GalleryBackground;rgba16;8;256;1;25c8;1000;none;0;0
00000F7C;UI_PopUpBox;indexed4;128;128;1;36d8;2000;rgba;3698;40
00000F7C;UI_X;indexed4;32;32;1;57e8;200;rgba;57a8;40
00000F7C;UI_Square;indexed4;32;32;1;5af8;200;rgba;5ab8;40
00000F7C;UI_PSPLeftThumbstick;indexed4;32;32;1;5e08;200;rgba;5dc8;40
00000F7C;UI_WaypointIconMarker;indexed4;8;16;1;6118;100;rgba;60d8;40
00000F7C;UI_BlueCross;indexed4;16;16;1;6328;100;rgba;62e8;40
00000F7C;UI_IconMessageNotification;indexed4;64;32;1;6538;400;rgba;64f8;40
00000F7C;UI_ScrollingArrow;indexed4;16;64;1;6a48;400;rgba;6a08;40
00000F7C;UI_Brightness9;indexed4;64;8;1;6f58;100;rgba;6f18;40
00000F7C;UI_Brightness8;indexed4;64;8;1;7168;100;rgba;7128;40
00000F7C;UI_Brightness7;indexed4;64;8;1;7378;100;rgba;7338;40
00000F7C;UI_Brightness6;indexed4;64;8;1;7588;100;rgba;7548;40
