fileHash;textureName;format;width;height;mipmapCount;rasterPosition;rasterSize;paletteFormat;palettePosition;paletteSize
00000F7C;UI_HourglassIcon;c4;32;32;1;178;200;rgb5a3;154;20
00000F7C;UI_NewMessageIcon;c4;8;32;1;428;80;rgb5a3;404;20
00000F7C;UI_blank;c4;8;8;1;558;20;rgb5a3;534;20
00000F7C;UI_TorchIcon;c4;16;32;1;628;100;rgb5a3;604;20
00000F7C;UI_ArrowWhite;c4;16;32;1;7d8;100;rgb5a3;7b4;20
00000F7C;UI_AccountsIcon;c4;32;32;1;988;200;rgb5a3;964;20
00000F7C;UI_GalleryBackground;dxt1;8;512;1;c18;800;none;0;0
00000F7C;UI_CarSeat;c4;32;32;1;14c8;200;rgb5a3;14a4;20
00000F7C;UI_Wallpaper;c8;128;128;1;1958;4000;rgb565;1754;200
00000F7C;UI_WaypointIconMarker;c4;8;16;1;5a08;40;rgb5a3;59e4;20
00000F7C;UI_IconMessageNotification;c4;64;32;1;5af8;400;rgb5a3;5ad4;20
00000F7C;UI_BlueCross;c4;16;16;1;5fa8;80;rgb5a3;5f84;20
00000F7C;UI_Nunchuk;c8;32;64;1;62b8;800;rgb5a3;60b4;200
00000F7C;UI_Brightness9;c4;128;8;1;6b68;200;rgb5a3;6b44;20
00000F7C;UI_Brightness8;c4;128;8;1;6e18;200;rgb5a3;6df4;20
00000F7C;UI_Brightness7;c4;128;8;1;70c8;200;rgb5a3;70a4;20
00000F7C;UI_Brightness6;c4;128;8;1;7378;200;rgb5a3;7354;20
00000F7C;UI_Brightness5;c4;128;8;1;7628;200;rgb5a3;7604;20
00000F7C;UI_PlusSymbol;c4;32;32;1;78d8;200;rgb5a3;78b4;20
00000F7C;UI_MinusSymbol;c4;32;32;1;7b88;200;rgb5a3;7b64;20
00000F7C;UI_NewWaypoint;c4;32;32;1;7e38;200;rgb5a3;7e14;20
00000F7C;UI_LightFlare;c4;32;32;1;80e8;200;rgb5a3;80c4;20
00000F7C;UI_WiiNunchuk;c8;64;256;1;8578;4000;rgb5a3;8374;200
00000F7C;UI_Scanlines;c4;8;512;1;c628;800;rgb5a3;c604;20
00000F7C;UI_WiiRemoteSide;c8;64;256;1;d0b8;4000;rgb5a3;ceb4;200
00000F7C;UI_WiiRemoteFront;c8;64;256;1;11348;4000;rgb5a3;11144;200
00000F7C;UI_Brightness4;c4;128;8;1;153f8;200;rgb5a3;153d4;20
00000F7C;UI_Brightness3;c4;128;8;1;156a8;200;rgb5a3;15684;20
00000F7C;UI_Brightness2;c4;128;8;1;15958;200;rgb5a3;15934;20
00000F7C;UI_Brightness1;c4;128;8;1;15c08;200;rgb5a3;15be4;20
00000F7C;UI_Brightness0;c4;128;8;1;15eb8;200;rgb5a3;15e94;20
00000F7C;UI_PillIcon;c4;32;32;1;16168;200;rgb5a3;16144;20
00000F7C;UI_CameraNoise;c4;256;128;1;16418;4000;rgb5a3;163f4;20
00000F7C;UI_BoxCorner;c4;16;16;1;1a4c8;80;rgb5a3;1a4a4;20
00000F7C;UI_CameraViewFinderCorner;c4;32;32;1;1a5f8;200;rgb5a3;1a5d4;20
00000F7C;UI_MemoryCard;c4;32;16;1;1a8a8;100;rgb5a3;1a884;20
00000F7C;UI_MemoryCardBox;c4;128;32;1;1aa58;800;rgb5a3;1aa34;20
00000F7C;UI_NoRunningIcon;c4;32;32;1;1b308;200;rgb5a3;1b2e4;20
00000F7C;UI_NoAccess;c4;64;64;1;1b5b8;800;rgb5a3;1b594;20
00000F7C;UI_scratches;c4;128;8;1;1be68;200;rgb5a3;1be44;20
00000F7C;UI_IconGame;c4;32;32;1;1c118;200;rgb5a3;1c0f4;20
00000F7C;UI_IconSave;c4;32;32;1;1c3c8;200;rgb5a3;1c3a4;20
00000F7C;UI_IconVoiceandMail;c4;32;32;1;1c678;200;rgb5a3;1c654;20
00000F7C;UI_8x8White;c4;8;8;1;1c928;20;rgb565;1c904;20
00000F7C;UI_ArrowBlack;c4;16;32;1;1c9f8;100;rgb5a3;1c9d4;20
00000F7C;UI_PauseIcon;c4;128;32;1;1cba8;800;rgb5a3;1cb84;20
00000F7C;UI_KeypadStarIcon;c8;16;16;1;1d638;100;rgb5a3;1d434;200
00000F7C;UI_KeypadPhoneBookIcon;c8;16;16;1;1d9c8;100;rgb5a3;1d7c4;200
00000F7C;UI_KeypadHashIcon;c8;16;16;1;1dd58;100;rgb5a3;1db54;200
00000F7C;UI_KeypadDeleteIcon;c8;16;16;1;1e0e8;100;rgb5a3;1dee4;200
00000F7C;UI_KeypadHilight;c8;64;16;1;1e478;400;rgb5a3;1e274;200
00000F7C;UI_KeyPickup;c4;64;32;1;1e928;400;rgb5a3;1e904;20
00000F7C;UI_SwipeArrow;c8;16;32;1;1efb8;200;rgb5a3;1edb4;200
